# Paso Promedio_Distancia_Minima
0.00000000 7.51691364
500.00000000 7.38627079
1000.00000000 7.31567203
1500.00000000 7.19776743
2000.00000000 7.02118866
2500.00000000 6.84723121
3000.00000000 6.74084673
3500.00000000 6.64291647
4000.00000000 6.54450895
4500.00000000 6.47940236
5000.00000000 6.41240390
5500.00000000 6.37771836
6000.00000000 6.32067312
6500.00000000 6.29984609
7000.00000000 6.24671114
7500.00000000 6.20323556
8000.00000000 6.14952447
8500.00000000 6.08479938
9000.00000000 6.07887908
9500.00000000 6.05896194
