# Paso Promedio_Distancia_Minima
0.00000000 8.78400166
500.00000000 8.33963820
1000.00000000 7.96485707
1500.00000000 7.66737453
2000.00000000 7.37724323
2500.00000000 7.15605871
3000.00000000 7.04593644
3500.00000000 6.89903103
4000.00000000 6.80756463
4500.00000000 6.78057156
5000.00000000 6.70797317
5500.00000000 6.69366401
6000.00000000 6.63348801
6500.00000000 6.53933004
7000.00000000 6.47201514
7500.00000000 6.44179910
8000.00000000 6.42426082
8500.00000000 6.38551618
9000.00000000 6.37485449
9500.00000000 6.33118811
