# Paso Promedio_Distancia_Minima
0.00000000 0.66440880
500.00000000 0.90463996
1000.00000000 0.95058768
1500.00000000 0.95634891
2000.00000000 0.97966177
2500.00000000 1.00059054
3000.00000000 1.00708451
3500.00000000 1.01175023
4000.00000000 1.02185173
4500.00000000 1.02707895
5000.00000000 1.03104961
5500.00000000 1.03443262
6000.00000000 1.03380113
6500.00000000 1.04137301
7000.00000000 1.04464869
7500.00000000 1.04492699
8000.00000000 1.04855557
8500.00000000 1.05341296
9000.00000000 1.05560906
9500.00000000 1.05963746
10000.00000000 1.06311798
10500.00000000 1.06745392
11000.00000000 1.06849951
11500.00000000 1.06874764
12000.00000000 1.07385131
12500.00000000 1.07643625
13000.00000000 1.07630580
13500.00000000 1.07595229
14000.00000000 1.07654503
14500.00000000 1.07597509
15000.00000000 1.07651127
15500.00000000 1.07733475
16000.00000000 1.07638769
16500.00000000 1.07773998
17000.00000000 1.07835555
17500.00000000 1.07913888
18000.00000000 1.07960693
18500.00000000 1.07966441
19000.00000000 1.08116787
19500.00000000 1.08535377
20000.00000000 1.08605575
20500.00000000 1.08763769
21000.00000000 1.08789918
21500.00000000 1.08819655
22000.00000000 1.08704549
22500.00000000 1.08672133
23000.00000000 1.08726964
23500.00000000 1.08777112
24000.00000000 1.08744115
24500.00000000 1.08906081
25000.00000000 1.08889786
25500.00000000 1.08927343
26000.00000000 1.09024385
26500.00000000 1.09124393
27000.00000000 1.09039178
27500.00000000 1.08957633
28000.00000000 1.08911476
28500.00000000 1.09032103
29000.00000000 1.09072687
29500.00000000 1.09083158
