# Paso Promedio_Distancia_Minima
0.00000000 7.56651382
500.00000000 7.47722220
1000.00000000 7.36746197
1500.00000000 7.16671143
2000.00000000 6.98790310
2500.00000000 6.80987125
3000.00000000 6.69351884
3500.00000000 6.61222803
4000.00000000 6.53286692
4500.00000000 6.44992035
5000.00000000 6.37408575
5500.00000000 6.29920256
6000.00000000 6.27169205
6500.00000000 6.23148151
7000.00000000 6.20079011
7500.00000000 6.17833409
8000.00000000 6.15452255
8500.00000000 6.13544791
9000.00000000 6.12097523
9500.00000000 6.09295129
