# Paso Promedio_Distancia_Minima
0.00000000 0.64374401
500.00000000 0.65521693
1000.00000000 0.62827406
1500.00000000 0.60877966
2000.00000000 0.60224694
2500.00000000 0.59741807
3000.00000000 0.59597143
3500.00000000 0.59502006
4000.00000000 0.58588825
4500.00000000 0.57678431
5000.00000000 0.57301109
5500.00000000 0.56973854
6000.00000000 0.56752579
6500.00000000 0.56460512
7000.00000000 0.56464812
7500.00000000 0.56094881
8000.00000000 0.56330216
8500.00000000 0.56242389
9000.00000000 0.56481244
9500.00000000 0.56503785
10000.00000000 0.56345748
10500.00000000 0.56338025
11000.00000000 0.56183784
11500.00000000 0.56122582
12000.00000000 0.56216478
12500.00000000 0.56042278
13000.00000000 0.55957042
13500.00000000 0.55815379
14000.00000000 0.55765946
14500.00000000 0.55713272
15000.00000000 0.55653634
15500.00000000 0.55653634
16000.00000000 0.55713864
16500.00000000 0.55611145
17000.00000000 0.55678671
17500.00000000 0.55616646
18000.00000000 0.55616470
18500.00000000 0.55637048
19000.00000000 0.55529892
19500.00000000 0.55388980
20000.00000000 0.55344769
20500.00000000 0.55434808
21000.00000000 0.55256818
21500.00000000 0.55279732
22000.00000000 0.55189526
22500.00000000 0.55227907
23000.00000000 0.55241640
23500.00000000 0.55191828
24000.00000000 0.55134440
24500.00000000 0.55159695
25000.00000000 0.55206421
25500.00000000 0.55188074
26000.00000000 0.55049760
26500.00000000 0.55009405
27000.00000000 0.55019988
27500.00000000 0.55050875
28000.00000000 0.55057004
28500.00000000 0.55014547
29000.00000000 0.54942708
29500.00000000 0.55026474
